Archive_Date,Group_ID,waiting_0_3,waiting_12_15,waiting_15_18,waiting_18plus,waiting_3_6,waiting_6_9,waiting_9_12,spec_1,spec_10,spec_11,spec_12,spec_13,spec_14,spec_15,spec_16,spec_17,spec_18,spec_19,spec_2,spec_20,spec_21,spec_22,spec_23,spec_24,spec_25,spec_26,spec_27,spec_28,spec_29,spec_3,spec_30,spec_31,spec_32,spec_33,spec_34,spec_35,spec_36,spec_37,spec_38,spec_39,spec_4,spec_40,spec_41,spec_42,spec_43,spec_44,spec_45,spec_46,spec_47,spec_48,spec_49,spec_5,spec_50,spec_51,spec_52,spec_53,spec_54,spec_55,spec_56,spec_57,spec_58,spec_59,spec_6,spec_60,spec_61,spec_62,spec_63,spec_64,spec_65,spec_66,spec_67,spec_68,spec_69,spec_7,spec_70,spec_71,spec_72,spec_73,spec_74,spec_75,spec_76,spec_77,spec_8,spec_9
2014-02,group_5,0.31869009584664537,0.07108626198083066,0.00718849840255591,0.00878594249201278,0.2563897763578275,0.1988817891373802,0.1389776357827476,0,0,0,0,76,0,0,31,0,35,0,5,44,150,20,96,28,0,0,0,6,5,7,0,0,24,42,42,0,0,6,44,0,0,91,23,117,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,19,24,2,0,57,9,2,0,0,0,36,23,6,0,0,82,26,0,0,22
2014-02,group_6,0.27714932126696834,0.09389140271493213,0.035633484162895926,0.04694570135746606,0.22963800904977374,0.18552036199095023,0.13122171945701358,0,7,3,9,97,0,0,42,0,18,0,35,115,195,22,109,27,0,0,13,0,42,0,0,0,52,60,0,1,0,11,86,44,9,202,0,145,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,45,33,0,1,70,0,0,5,0,0,21,42,17,0,0,114,24,0,0,0
2014-02,group_7,0.30899182561307903,0.07193460490463215,0.014168937329700272,0.010354223433242507,0.26321525885558583,0.1896457765667575,0.14168937329700274,0,0,0,0,74,0,25,44,0,57,28,3,99,238,21,91,19,17,0,0,5,21,17,0,0,17,50,24,3,7,12,87,0,18,136,0,136,8,5,0,0,0,0,0,57,0,0,0,0,0,14,3,0,5,0,0,0,32,58,1,0,103,7,1,0,0,0,60,54,22,0,0,77,79,0,0,0
2014-02,group_8,0.340080971659919,0.059379217273954114,0.01349527665317139,0.008097165991902834,0.26855600539811064,0.18083670715249664,0.12955465587044535,0,0,0,2,25,0,0,0,0,15,0,19,54,104,16,63,4,0,0,0,0,33,0,0,0,10,15,0,0,0,3,30,0,0,35,3,84,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,22,8,0,0,20,0,0,0,0,0,3,47,11,0,0,67,31,0,0,0
2014-03,group_2,0.2881002087682672,0.08350730688935282,0.03549060542797495,0.033402922755741124,0.23799582463465555,0.16910229645093947,0.1524008350730689,0,0,0,16,21,0,3,4,0,0,0,0,9,24,0,6,3,0,0,0,9,4,0,5,4,10,23,5,0,0,0,30,0,5,50,3,35,21,5,12,6,0,5,1,13,0,0,0,0,0,0,0,0,4,5,0,0,23,0,0,2,29,0,2,0,0,3,23,17,11,0,0,23,0,0,5,0
2014-03,group_3,0.30177935943060497,0.06690391459074733,0.0298932384341637,0.023487544483985764,0.2590747330960854,0.18505338078291814,0.13380782918149467,0,16,0,1,54,3,9,31,0,37,0,31,62,162,17,70,32,0,1,0,2,26,0,0,0,21,32,0,0,0,14,46,0,12,129,12,127,9,6,12,0,0,0,0,61,3,0,8,17,0,4,0,0,11,7,10,0,16,17,5,0,35,7,0,2,2,0,21,39,9,0,0,96,51,0,6,4
2014-03,group_4,0.32962447844228093,0.0584144645340751,0.006258692628650904,0.009735744089012517,0.2614742698191933,0.1926286509040334,0.14186369958275383,0,2,0,10,61,0,15,44,1,41,0,6,84,192,23,107,27,0,0,2,2,0,0,4,0,9,36,0,2,16,11,121,0,17,138,2,108,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,23,31,1,0,47,9,0,2,3,0,37,31,19,0,0,67,19,0,4,0
2014-03,group_5,0.31843575418994413,0.07023144453312051,0.008778930566640064,0.008778930566640064,0.25059856344772546,0.19792498004788509,0.1452513966480447,0,0,0,0,74,0,0,30,0,35,0,6,45,149,18,91,23,0,0,0,6,6,8,0,0,26,44,40,0,0,7,46,0,0,92,23,125,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,20,24,2,0,59,9,2,0,0,0,34,21,6,0,0,80,27,0,0,21
2014-03,group_6,0.27282913165266104,0.09523809523809523,0.03697478991596639,0.04145658263305322,0.22633053221288515,0.1915966386554622,0.13557422969187674,0,5,5,10,98,0,0,43,0,18,0,33,116,200,22,117,26,0,0,11,0,40,0,0,0,50,60,0,1,0,13,87,44,8,208,0,150,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,42,33,0,1,73,0,0,2,0,0,23,42,15,0,0,110,25,0,0,0
2014-03,group_7,0.30994152046783624,0.07017543859649122,0.018075491759702286,0.019138755980861243,0.25943646996278574,0.18553960659223817,0.13769271664008506,0,0,0,0,75,0,23,44,0,62,33,2,91,231,24,94,21,22,0,0,7,13,19,0,0,16,57,23,4,9,11,89,0,17,147,0,138,7,5,0,0,0,0,0,57,0,0,0,0,0,14,4,0,5,0,0,0,31,65,1,0,95,8,1,0,0,0,65,56,31,0,0,83,81,0,0,0
2014-03,group_8,0.33902759526938236,0.06701708278580815,0.00788436268068331,0.02102496714848883,0.25229960578186594,0.18396846254927726,0.1287779237844941,0,0,0,3,23,0,0,0,0,15,0,16,58,110,15,71,6,0,0,0,0,38,0,0,0,11,15,0,0,0,3,34,0,0,37,2,83,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,22,8,0,0,20,0,0,0,0,0,2,48,11,0,0,66,27,0,0,0
2014-04,group_2,0.2869022869022869,0.09147609147609148,0.0498960498960499,0.04158004158004158,0.2390852390852391,0.1683991683991684,0.12266112266112267,0,0,0,15,25,0,5,4,0,0,0,0,12,24,0,8,3,0,0,2,7,3,0,5,3,7,17,2,0,0,0,31,0,4,46,2,37,24,5,14,5,0,6,0,14,0,0,0,0,0,0,0,0,6,4,0,0,22,0,0,0,36,0,0,0,0,4,25,16,9,0,0,24,0,0,5,0
2014-04,group_3,0.2968005445881552,0.07488087134104833,0.04084411164057182,0.03403675970047652,0.24438393464942137,0.18039482641252552,0.12865895166780122,0,18,0,1,53,4,9,32,0,40,0,30,66,177,17,66,35,0,0,5,1,27,0,0,0,21,34,0,0,0,12,52,0,13,135,14,131,10,8,10,0,0,0,0,64,3,0,9,18,0,5,0,0,9,9,9,0,18,16,4,0,32,8,0,2,3,0,20,39,16,0,0,98,56,0,5,5
2014-04,group_4,0.32906271072151044,0.06877950101146325,0.02157788267026298,0.010114632501685773,0.24072825354012137,0.19217801753202968,0.1375590020229265,0,1,0,9,62,0,12,44,1,40,0,4,82,199,21,133,31,0,0,0,1,0,0,5,0,12,22,0,3,0,8,128,0,15,151,3,111,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,28,34,0,0,47,10,1,2,3,0,38,36,25,0,0,68,21,0,5,0
2014-04,group_5,0.32081632653061226,0.062040816326530614,0.012244897959183673,0.0016326530612244899,0.2546938775510204,0.20653061224489797,0.14204081632653062,0,0,0,0,77,0,0,27,0,38,0,6,47,139,15,90,27,0,0,0,7,4,9,0,0,23,45,38,0,0,7,46,0,0,91,24,122,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,19,24,2,0,52,9,2,0,0,0,28,22,3,0,0,82,25,0,0,21
2014-04,group_6,0.26936026936026936,0.09764309764309764,0.05499438832772166,0.0409652076318743,0.22334455667789002,0.18069584736251404,0.132996632996633,0,6,6,0,106,0,0,40,0,16,0,36,126,184,24,110,26,0,0,12,0,39,0,0,0,50,60,0,1,0,15,86,48,12,203,0,152,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,44,27,0,3,69,0,2,4,0,0,25,40,14,0,0,114,27,0,0,0
2014-04,group_7,0.30320546505517604,0.07461902259590121,0.04308985811875985,0.01839201261166579,0.2417235943247504,0.18286915396741987,0.13610089332632685,1,0,0,0,78,0,28,44,0,61,27,3,99,224,24,98,18,20,0,0,4,14,27,0,0,21,59,24,0,11,9,81,0,20,152,0,140,7,5,0,0,0,0,0,69,0,0,0,0,0,14,3,0,4,0,0,0,33,62,1,0,98,7,1,0,0,0,67,61,29,0,0,87,68,0,0,0
2014-04,group_8,0.34805890227576974,0.07764390896921017,0.03748326639892905,0.006693440428380187,0.23962516733601072,0.18607764390896922,0.10441767068273092,0,0,0,2,20,0,0,0,0,17,0,19,52,110,15,64,7,0,0,0,0,33,0,0,0,12,15,0,0,0,2,32,0,0,40,2,85,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,0,21,0,0,0,0,0,2,51,8,0,0,63,27,0,0,0
2014-05,group_2,0.2874251497005988,0.09580838323353294,0.06187624750499002,0.043912175648702596,0.23353293413173654,0.15568862275449102,0.1217564870259481,0,0,0,16,26,0,3,5,0,0,0,0,12,26,0,8,3,0,0,2,8,5,0,5,4,10,19,2,0,0,0,32,0,4,50,1,39,25,4,18,6,0,5,0,14,0,0,0,0,0,0,0,0,6,3,0,0,20,0,0,0,33,0,0,0,0,3,28,17,8,0,0,27,0,0,4,0
2014-05,group_3,0.2973523421588595,0.07739307535641547,0.0373387644263408,0.031228784792939578,0.24236252545824846,0.18397827562797012,0.13034623217922606,0,17,0,2,53,4,10,33,0,43,0,32,66,173,19,69,36,0,0,5,2,27,0,0,0,17,31,0,0,0,12,49,0,15,137,13,130,10,5,7,0,0,0,0,59,4,0,9,20,0,5,0,0,10,4,7,0,17,17,4,0,34,7,0,2,3,0,21,41,18,0,0,104,59,0,6,5
